accession_title,accession_number_1,accession_number_2,accession_number_3,accession_number_4,accession_accession_date,accession_access_restrictions,accession_access_restrictions_note,accession_acquisition_type,accession_condition_description,accession_content_description,accession_disposition,accession_general_note,accession_inventory,accession_provenance,accession_publish,accession_resource_type,accession_restrictions_apply,accession_retention_rule,accession_use_restrictions,accession_use_restrictions_note,accession_cataloged_note,accession_processing_hours_total,accession_processing_plan,accession_processing_priority,accession_processing_status,accession_processing_total_extent,accession_processing_total_extent_type,accession_processors,accession_rights_determined,date_1_label,date_1_expression,date_1_begin,date_1_end,date_1_type,date_2_label,date_2_expression,date_2_begin,date_2_end,date_2_type,extent_type,extent_container_summary,extent_number,accession_acknowledgement_sent,accession_acknowledgement_sent_date,accession_agreement_received,accession_agreement_received_date,accession_agreement_sent,accession_agreement_sent_date,accession_cataloged,accession_cataloged_date,accession_processed,accession_processed_date,user_defined_boolean_1,user_defined_boolean_2,user_defined_boolean_3,user_defined_integer_1,user_defined_integer_2,user_defined_integer_3,user_defined_real_1,user_defined_real_2,user_defined_real_3,user_defined_string_1,user_defined_string_2,user_defined_string_3,user_defined_string_4,user_defined_text_1,user_defined_text_2,user_defined_text_3,user_defined_text_4,user_defined_text_5,user_defined_date_1,user_defined_date_2,user_defined_date_3,user_defined_enum_1,user_defined_enum_2,user_defined_enum_3,user_defined_enum_4,agent_role,agent_relator,agent_type,agent_contact_address_1,agent_contact_address_2,agent_contact_address_3,agent_contact_city,agent_contact_country,agent_contact_email,agent_contact_fax,agent_contact_name,agent_contact_post_code,agent_contact_region,agent_contact_salutation,agent_contact_telephone,agent_contact_telephone_ext,agent_name_authority_id,agent_name_dates,agent_name_fuller_form,agent_name_name_order,agent_name_number,agent_name_title,agent_name_prefix,agent_name_primary_name,agent_name_qualifier,agent_name_rest_of_name,agent_name_rules,agent_name_sort_name,agent_name_source,agent_name_subordinate_name_1,agent_name_subordinate_name_2,agent_name_suffix,agent_name_description_note,agent_name_description_citation,subject_source,subject_term,subject_term_type
WCDFR,UD5V1,3EO74,SX896,4E26P,1/11/87,PW95E,R50YG,ML3SG,V80HU,B94PM,CWNPX,OKG38,HRBQF,K9YI5,1,9DSTL,1,91WV2,0,P0W05,D3CKM,86,XJT8S,AS4SL,new,86,CMHS3,G5J5V,0,creation,1960,1960,1969,inclusive,creation,1991,,,single,cubic_feet,AW55S,57,1,1/22/01,0,8/31/06,0,9/16/77,1,8/6/87,0,1/30/72,0,0,,17,23,,18.85,12.566,,MC6BI,GBRV8,41F1S,,I9G3T,7I81K,QRG1N,SWNAQ,,6/10/93,2/2/80,,,,,,creator,asg,agent_person,123 Fake St.,c/o Max Power,Apt 213,Springfield,USA,fake@fake.com,999-444-4444,HOME,74120,Central America,Dr,555-555-5555,247,Y12LR,UEQ10,UX092,direct,3,Baron,VBOJT,PE953,The Lesser,57DDD,ciderhouse,Jimmy,local,5HBYI,UI33G,T325H,W1FNY,IUP88,local,iiiuiu,cultural_context
WT772,I1RBV,Q6D1W,VVNKP,H9A4V,11/26/84,QRXGC,OL43F,2PIT4,G6334,C3K2L,FOMJ9,EYIT5,ALE45,VKI0N,0,68K27,1,42TBE,0,NNWXC,7YNN5,80,C6R4H,EW081,in_progress,80,BGPGM,783FE,1,,,,,,,,,,,photographic_slides,K1XCA,60,1,9/13/87,1,10/15/05,0,12/22/96,0,8/17/10,1,5/18/97,1,0,,15,53,,6.283,21.991,,US4A2,HUI9P,XMWK4,,WTVC7,131O8,1CT16,2Q4JD,,3/3/10,10/14/02,,,,,,creator,ctg,agent_person,,,,,,,,,,,,,,G60VF,1GQ3I,UR09U,direct,,Bishop,PDC34,SV80D,,XEDHA,,,local,E4P5N,RI6UQ,P4H1D,HLLYP,J8B9V,local,uiuiu,cultural_context
AOYNV,QK6R2,IDO60,IV1XD,2L5AG,11/14/92,L93E1,JRI38,3O6E3,Y7JF2,8R5M9,9N2JD,A2BC8,B5BQW,XAXV7,TRUE,SUXTQ,1,G8JBH,1,UC7FP,8P759,21,6XKCF,OET5C,in_progress,21,LEXND,CPAR1,0,,,,,,,,,,,megabytes,UC6CF,5,1,3/8/89,0,9/15/97,1,8/8/98,1,1/5/01,1,11/20/06,1,1,,43,90,,21.991,18.85,,AM11R,0L23W,QPX02,,2KPS6,3MYRF,0P044,V0KTW,,1/17/09,7/28/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,uiuiu,cultural_context
EJ303,8BS6U,5VV7T,7KTBE,6YL7B,4/5/80,2TF7S,4BFX8,YNURT,TW8RX,48M23,S7638,VE9KF,KKOKV,5WE8V,FALSE,C6HEX,0,87WPR,0,AW96N,ETR40,93,HO7IS,JV7MG,completed,93,8YKMT,X07IS,0,,,,,,,,,,,gigabytes,O4AD7,25,0,8/27/70,1,3/25/71,0,4/13/95,0,1/20/71,1,2/11/90,0,0,,53,93,,0,6.283,,0M790,U9WA1,S3E07,,HG3FE,6TST6,L7DP3,HC2P8,,2/11/97,1/1/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,uiukhjkh,cultural_context
HD8NC,D8V0J,V2BAD,XG7GK,HRR0I,1/30/91,AHWXY,HXH3V,1ABWT,CPFA2,CQD8F,54SM6,SHG63,4O408,R1MOD,0,RA4AA,0,1L58K,1,4CC0J,7IHR8,12,GEIVW,KL9DC,completed,12,L0QMY,08K5J,1,,,,,,,,,,,volumes,LJN3X,46,1,4/12/07,1,12/8/82,1,10/7/81,1,7/1/04,1,5/7/73,1,0,,63,3,,28.274,6.283,,4UB1E,8G820,C5OQE,,RKK2T,L1J33,UXY4H,2T2V2,,9/24/77,12/15/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,kjhkj,cultural_context
E8NM2,PQPH2,2TN0H,MJMW5,DWJM0,12/21/89,I3U7I,EABCH,RUTTC,D3YVM,GTX4D,0A15O,R90TP,VWFJF,UEQ0R,0,5XFH1,1,KMAQ2,1,SU7RU,D5WKU,78,R9WTH,J396E,new,78,29OTT,2A1D5,1,,,,,,,,,,,cassettes,HVSP6,0,1,4/10/88,1,2/12/00,1,1/16/86,1,9/30/07,1,4/23/00,0,0,,25,42,,0,0,,W8U7U,5Y1UU,FFVJ3,,POJDG,0E1TC,BQ0NH,0L64R,,5/27/90,11/3/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,hkjhkhgfyu,cultural_context
GPR00,O3DL4,NPYL2,6HT2X,9FMG9,6/21/72,17743,FY40I,FCD71,EGD6E,YMJA2,Y5XAF,KV5F1,9M49S,PVE27,1,XQLV4,1,9XOKX,1,QJREC,GDLP5,60,BA6CA,6MGPC,new,60,OV142,SHUV4,0,,,,,,,,,,,sheets,6F38P,23,1,11/14/83,0,2/13/72,0,6/1/79,0,2/23/00,0,3/7/73,0,0,,51,31,,25.133,9.425,,S4X1H,7HINH,5UHQH,,WBSB1,6X7EU,KK6VQ,IJ0B0,,1/11/71,1/20/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,fghfvbn,cultural_context
76FAN,TBY9R,RVWMP,213MD,15QDX,6/1/06,E93VX,V7NYE,4T4H8,DQ09G,8CG1T,DAXJU,NHUNX,PV3E5,44GXA,1,PJ562,1,0BKBQ,1,3490M,3AX6W,90,CUV7L,Q4SRR,in_progress,90,JY0UV,9J6JG,0,,,,,,,,,,,files,ERUFM,47,0,4/8/90,0,3/30/07,0,7/30/82,0,5/12/81,0,11/29/97,1,1,,29,28,,25.133,18.85,,3R20O,9DQ9M,3J7OT,,E3B17,O3ET1,EBFLC,4UJQL,,9/20/78,4/4/03,,,,,,creator,,agent_family,,,,,,,,,,,,,,0QE4Q,61Y59,J6SD6,direct,,,NPO54,NEGTE,,WNK7D,,,local,8NHCD,C5X7A,1RR1Q,XEXIQ,KESVM,local,hjguytghjv,cultural_context
785MX,EEQ21,YHMJS,MAU8E,OKQU7,9/14/08,9VQBX,SIPL6,R6TYE,6MUSK,IBGUX,X7X5H,LF6OX,4N5X1,8ACVL,1,4BK7T,1,PR291,1,JCAOF,A44P7,85,9026U,O59X7,new,85,YOGO8,79MR3,1,,,,,,,,,,,photographic_slides,X2DR0,47,0,3/23/85,1,5/24/79,0,5/29/80,1,1/16/94,1,3/5/93,0,1,,96,10,,0,6.283,,WP85K,NASL5,MW5BP,,UQAHN,KGPGO,66HRA,O5MKW,,3/10/01,7/16/07,,,,,,creator,,agent_family,,,,,,,,,,,,,,18P7N,5008T,4XFM5,direct,,,LHLVI,YS9AU,,8LEUQ,,,local,BM36B,JN5II,ENM4A,2RV66,EM31P,local,vnbvnbv,cultural_context
TB52T,1MPFS,JXP35,XWJJU,ROK2B,11/5/96,K83FG,T5WN5,4AYIV,0SCMP,N82DA,53GVP,WD47L,MXS57,KLTBQ,1,60V0J,1,TVV16,0,YSQO3,TFY7B,92,0C6RH,NCF5L,new,92,BQP1I,S1C2E,0,,,,,,,,,,,sheets,LF03Q,53,0,12/4/78,0,10/8/85,0,4/29/76,1,10/5/75,0,12/23/11,0,0,,16,18,,12.566,21.991,,I2WRL,MKR5R,WA2EX,,E7GPN,4MJBJ,5PBDW,WVIG2,,2/18/91,2/9/08,,,,,,creator,,agent_family,,,,,,,,,,,,,,LT7W9,G72FQ,QWL6X,direct,,,10V9F,KOPY8,,V4CXS,,,local,MBRBP,E7BEW,N033U,BPPBC,XIUOE,,,
